o_lane,d,vi1,vi2,Acc?,delta_x1,vf1,delta_x2,delta_t
1,1,15,15,1,0,24,89,6
1,2,15,15,1,0,24,88,6
1,3,15,15,1,0,24,87,6
1,4,15,15,1,0,24,86,6
1,5,15,15,0.94,117,24,85,6
1,6,15,15,0.87,114,23,84,6
1,7,15,15,0.9,113,23,83,6
1,8,15,15,0.72,116,23,82,6
1,9,15,15,0.67,115,24,81,6
1,10,15,15,0.5,115,23,80,6
1,11,15,15,0.33,117,22,79,6
1,12,15,15,0.29,120,23,78,6
1,13,15,15,0.16,120,23,77,6
1,14,15,15,0.09,119,23,76,6
1,15,15,15,0.06,119,23,75,6
1,16,15,15,0.04,120,22,74,6
1,17,15,15,0.03,118,23,73,6
1,18,15,15,0.02,118,22,72,6
1,19,15,15,0,119,22,71,6
1,20,15,15,0,117,22,70,6
1,21,15,15,0,118,22,69,6
1,22,15,15,0,118,22,68,6
1,23,15,15,0,117,22,67,6
1,24,15,15,0,115,21,66,6
1,25,15,15,0,117,22,65,6
1,26,15,15,0,116,22,64,6
1,27,15,15,0,116,22,63,6
1,28,15,15,0,114,22,62,6
1,29,15,15,0,114,21,61,6
1,30,15,15,0,115,22,60,6
1,31,15,15,0,115,23,59,6
1,32,15,15,0,114,22,58,6
1,33,15,15,0,113,22,57,6
1,34,15,15,0,114,21,56,6
1,35,15,15,0,113,22,55,6
1,36,15,15,0,110,21,54,6
1,37,15,15,0,110,21,53,6
1,38,15,15,0,112,21,52,6
1,39,15,15,0,112,21,51,6
1,40,15,15,0,109,21,50,6
1,41,15,15,0,110,21,49,6
1,42,15,15,0,109,21,48,6
1,43,15,15,0,110,22,47,6
1,1,16,15,1,0,25,89,6
1,2,16,15,1,0,24,88,6
1,3,16,15,1,0,24,87,6
1,4,16,15,1,0,24,86,6
1,5,16,15,1,0,24,85,6
1,6,16,15,0.97,116,24,84,6
1,7,16,15,0.98,112,25,83,6
1,8,16,15,0.88,121,25,82,6
1,9,16,15,0.78,119,24,81,6
1,10,16,15,0.76,122,24,80,6
1,11,16,15,0.56,123,24,79,6
1,12,16,15,0.43,123,24,78,6
1,13,16,15,0.33,125,25,77,6
1,14,16,15,0.21,126,24,76,6
1,15,16,15,0.11,125,24,75,6
1,16,16,15,0.06,126,24,74,6
1,17,16,15,0.02,126,24,73,6
1,18,16,15,0.04,125,24,72,6
