step,__da,_da,t,crashed,actrState,lC,x,v,a,lane
0,0,0,0,false,1,false,0,30,0,1
1,0,0,1,false,2,false,30,30,1,1
2,0,0,1,false,1,true,30,30,1,1
3,0,0,7,false,2,false,202,30,0,2
4,0,0,7,false,1,false,202,30,0,2
5,0,0,8,false,2,false,232,30,0,2
6,0,0,8,false,1,false,232,30,0,2
7,0,0,9,false,2,false,262,30,0,2
8,0,0,9,false,1,false,262,30,0,2
9,0,0,10,false,2,false,292,30,0,2
10,0,0,10,false,1,false,292,30,0,2
11,0,0,11,false,2,false,322,30,0,2
12,0,0,11,false,1,false,322,30,0,2
13,0,0,12,false,2,false,352,30,0,2
14,0,0,12,false,1,false,352,30,0,2
15,0,0,13,false,2,false,382,30,0,2
16,0,0,13,false,1,false,382,30,0,2
17,0,0,14,false,2,false,412,30,0,2
18,0,0,14,false,1,false,412,30,0,2
19,0,0,15,false,2,false,442,30,0,2
20,0,0,15,false,1,false,442,30,0,2
21,0,0,16,false,2,false,472,30,0,2
22,0,0,16,false,1,false,472,30,0,2
23,1,0,17,false,2,false,500,30,0,2
