d,v,delta_crash,a
1,15,0.07,-2
1,16,0.06,-2
1,17,0.06,-2
1,18,0.06,-2
1,19,0.05,-2
1,20,0.05,-2
1,21,0.05,-2
1,22,0.05,-2
1,23,0.04,-2
1,24,0.04,-2
1,25,0.04,-2
1,26,0.04,-2
1,27,0.04,-2
1,28,0.04,-2
1,29,0.03,-2
1,30,0.03,-2
1,31,0.03,-2
1,32,0.03,-2
1,33,0.03,-2
1,34,0.03,-2
2,15,0.13,-2
2,16,0.13,-2
2,17,0.12,-2
2,18,0.11,-2
2,19,0.11,-2
2,20,0.1,-2
2,21,0.1,-2
2,22,0.09,-2
2,23,0.09,-2
2,24,0.08,-2
2,25,0.08,-2
2,26,0.08,-2
2,27,0.07,-2
2,28,0.07,-2
2,29,0.07,-2
2,30,0.07,-2
2,31,0.06,-2
2,32,0.06,-2
2,33,0.06,-2
2,34,0.06,-2
3,15,0.2,-2
3,16,0.19,-2
3,17,0.18,-2
3,18,0.17,-2
3,19,0.16,-2
3,20,0.15,-2
3,21,0.14,-2
3,22,0.14,-2
3,23,0.13,-2
3,24,0.13,-2
3,25,0.12,-2
3,26,0.12,-2
3,27,0.11,-2
3,28,0.11,-2
3,29,0.1,-2
3,30,0.1,-2
3,31,0.1,-2
3,32,0.09,-2
3,33,0.09,-2
3,34,0.09,-2
4,15,0.27,-1
4,16,0.25,-1
4,17,0.24,-1
4,18,0.22,-1
4,19,0.21,-1
4,20,0.2,-2
4,21,0.19,-2
4,22,0.18,-2
4,23,0.17,-2
4,24,0.17,-2
4,25,0.16,-2
4,26,0.15,-2
4,27,0.15,-2
4,28,0.14,-2
4,29,0.14,-2
4,30,0.13,-2
4,31,0.13,-2
4,32,0.13,-2
4,33,0.12,-2
4,34,0.12,-2
5,15,0.33,-1
5,16,0.31,-1
5,17,0.29,-1
5,18,0.28,-1
5,19,0.26,-1
5,20,0.25,-1
5,21,0.24,-1
5,22,0.23,-1
5,23,0.22,-1
5,24,0.21,-1
5,25,0.2,-2
5,26,0.19,-2
5,27,0.19,-2
5,28,0.18,-2
5,29,0.17,-2
5,30,0.17,-2
5,31,0.16,-2
5,32,0.16,-2
5,33,0.15,-2
5,34,0.15,-2
6,15,0.4,-1
6,16,0.38,-1
6,17,0.35,-1
6,18,0.33,-1
6,19,0.32,-1
6,20,0.3,-1
6,21,0.29,-1
6,22,0.27,-1
6,23,0.26,-1
6,24,0.25,-1
6,25,0.24,-1
6,26,0.23,-1
6,27,0.22,-1
6,28,0.21,-1
6,29,0.21,-1
6,30,0.2,-2
6,31,0.19,-2
6,32,0.19,-2
6,33,0.18,-2
6,34,0.18,-2
7,15,0.47,0
7,16,0.44,0
7,17,0.41,0
7,18,0.39,-1
7,19,0.37,-1
7,20,0.35,-1
7,21,0.33,-1
7,22,0.32,-1
7,23,0.3,-1
7,24,0.29,-1
7,25,0.28,-1
7,26,0.27,-1
7,27,0.26,-1
7,28,0.25,-1
7,29,0.24,-1
7,30,0.23,-1
7,31,0.23,-1
7,32,0.22,-1
7,33,0.21,-1
7,34,0.21,-1
8,15,0.53,0
8,16,0.5,0
8,17,0.47,0
8,18,0.44,0
8,19,0.42,0
8,20,0.4,-1
8,21,0.38,-1
8,22,0.36,-1
8,23,0.35,-1
8,24,0.33,-1
8,25,0.32,-1
8,26,0.31,-1
8,27,0.3,-1
8,28,0.29,-1
8,29,0.28,-1
8,30,0.27,-1
8,31,0.26,-1
8,32,0.25,-1
8,33,0.24,-1
8,34,0.24,-1
9,15,0.6,0
9,16,0.56,0
9,17,0.53,0
9,18,0.5,0
9,19,0.47,0
9,20,0.45,0
9,21,0.43,0
9,22,0.41,0
9,23,0.39,-1
9,24,0.38,-1
9,25,0.36,-1
9,26,0.35,-1
9,27,0.33,-1
9,28,0.32,-1
9,29,0.31,-1
9,30,0.3,-1
9,31,0.29,-1
9,32,0.28,-1
9,33,0.27,-1
9,34,0.26,-1
10,15,0.67,0
10,16,0.63,0
10,17,0.59,0
10,18,0.56,0
10,19,0.53,0
10,20,0.5,0
10,21,0.48,0
10,22,0.45,0
10,23,0.43,0
10,24,0.42,0
10,25,0.4,-1
10,26,0.38,-1
10,27,0.37,-1
10,28,0.36,-1
10,29,0.34,-1
10,30,0.33,-1
10,31,0.32,-1
10,32,0.31,-1
