step,t,crashed,actrState,lC,x,v,a,lane,_da,__da
0,0,false,1,false,0,30,0,1,0,2
1,1,false,2,false,30,30,1,1,0,2
2,1,false,1,true,30,30,1,1,0,2
3,7,false,2,false,202,30,0,2,0,2
4,7,false,1,false,202,30,0,2,0,2
5,8,false,2,false,232,30,0,2,0,2
6,8,false,1,true,232,30,0,2,0,2
7,14,false,2,false,397,30,0,1,0,2
8,14,false,1,false,397,30,0,1,0,2
9,15,false,2,false,427,30,0,1,0,2
10,15,false,1,false,427,30,0,1,0,2
11,16,false,2,false,457,30,0,1,0,2
12,16,false,1,false,457,30,0,1,0,2
13,17,false,2,false,487,30,0,1,0,2
14,17,false,1,false,487,30,0,1,0,2
15,18,false,2,false,500,30,0,1,1,2
