o_lane,d,vi1,vi2,Acc?,delta_x1,vf1,delta_x2,delta_t
1,1,15,15,1,0,23,89,6
1,1,15,15,1,0,25,89,6
1,1,15,15,1,0,23,59,4
1,2,15,15,1,0,24,88,6
1,2,15,15,1,0,24,88,6
1,2,15,15,1,0,22,58,4
1,3,15,15,1,0,24,87,6
1,3,15,15,1,0,24,87,6
1,3,15,15,1,0,22,57,4
1,4,15,15,1,0,24,86,6
1,4,15,15,1,0,24,86,6
1,4,15,15,1,0,23,56,4
1,5,15,15,0.96,105,23,85,6
1,5,15,15,0.99,128,25,85,6
1,5,15,15,0.97,70,22,55,4
1,6,15,15,0.9,113,23,84,6
1,6,15,15,0.99,117,24,84,6
1,6,15,15,0.94,74,22,54,4
1,7,15,15,0.83,113,23,83,6
1,7,15,15,0.84,123,24,83,6
1,7,15,15,0.88,76,22,53,4
1,8,15,15,0.8,120,23,82,6
1,8,15,15,0.73,120,24,82,6
1,8,15,15,0.83,78,22,52,4
1,9,15,15,0.62,118,23,81,6
1,9,15,15,0.7,125,23,81,6
1,9,15,15,0.55,75,21,51,4
1,10,15,15,0.49,116,23,80,6
1,10,15,15,0.51,123,24,80,6
1,10,15,15,0.51,75,21,50,4
1,11,15,15,0.26,119,23,79,6
1,11,15,15,0.4,125,23,79,6
1,11,15,15,0.34,79,22,49,4
1,12,15,15,0.28,120,24,78,6
1,12,15,15,0.3,122,23,78,6
1,12,15,15,0.24,79,22,48,4
1,13,15,15,0.13,119,23,77,6
1,13,15,15,0.17,123,23,77,6
1,13,15,15,0.19,78,22,47,4
1,14,15,15,0.1,123,23,76,6
1,14,15,15,0.16,123,23,76,6
1,14,15,15,0.1,78,22,46,4
1,15,15,15,0.05,120,24,75,6
1,15,15,15,0.03,125,23,75,6
1,15,15,15,0.08,79,21,45,4
1,16,15,15,0,122,24,74,6
1,16,15,15,0.08,123,23,74,6
1,16,15,15,0.02,77,21,44,4
1,17,15,15,0,119,23,73,6
1,17,15,15,0.01,125,23,73,6
1,17,15,15,0,77,21,43,4
1,18,15,15,0.01,118,22,72,6
