type_driver,property,probability
1,Pmin=? [ F crashed ],0.163755547273203
1,Pmax=? [ F (x=500 & t < 16) ],0.0
1,Pmax=? [ F (x=500 & t < 17) ],0.0
1,Pmax=? [ F (x=500 & t < 18) ],0.0
1,Pmax=? [ F (x=500 & t < 19) ],3.765072001600002e-11
1,Pmax=? [ F (x=500 & t < 20) ],0.31691997775864067
1,Pmax=? [ F (x=500 & t < 21) ],0.7797191625163447
1,Pmax=? [ F (x=500 & t < 22) ],0.8305605519772492
1,Pmax=? [ F (x=500 & t < 23) ],0.8362444527267971
1,Pmax=? [ F (x=500 & t < 24) ],0.8362444527267971
1,Pmax=? [ F (x=500 & t < 25) ],0.8362444527267971
1,Pmax=? [ F (x=500 & t < 26) ],0.8362444527267971
2,Pmin=? [ F crashed ],0.04720788130374053
2,Pmax=? [ F (x=500 & t < 16) ],0.0
2,Pmax=? [ F (x=500 & t < 17) ],0.0
2,Pmax=? [ F (x=500 & t < 18) ],0.0
2,Pmax=? [ F (x=500 & t < 19) ],2.4247981450000022e-11
2,Pmax=? [ F (x=500 & t < 20) ],0.23610632038856855
2,Pmax=? [ F (x=500 & t < 21) ],0.8542193243372577
2,Pmax=? [ F (x=500 & t < 22) ],0.9507879657220362
2,Pmax=? [ F (x=500 & t < 23) ],0.9527921186962596
2,Pmax=? [ F (x=500 & t < 24) ],0.9527921186962596
2,Pmax=? [ F (x=500 & t < 25) ],0.9527921186962596
2,Pmax=? [ F (x=500 & t < 26) ],0.9527921186962596
3,Pmin=? [ F crashed ],0.01390130153173272
3,Pmax=? [ F (x=500 & t < 16) ],0.0
3,Pmax=? [ F (x=500 & t < 17) ],0.0
3,Pmax=? [ F (x=500 & t < 18) ],0.0
3,Pmax=? [ F (x=500 & t < 19) ],1.440491622400001e-11
3,Pmax=? [ F (x=500 & t < 20) ],0.11854667634207536
3,Pmax=? [ F (x=500 & t < 21) ],0.6823459382063292
3,Pmax=? [ F (x=500 & t < 22) ],0.9854720401706518
3,Pmax=? [ F (x=500 & t < 23) ],0.9860986984682674
3,Pmax=? [ F (x=500 & t < 24) ],0.9860986984682674
3,Pmax=? [ F (x=500 & t < 25) ],0.9860986984682674
3,Pmax=? [ F (x=500 & t < 26) ],0.9860986984682674
