type_driver,property,probability
1,P=? [F crashed],0.2334169205
1,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
1,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.1176592425
1,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.5550919591
1,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.6769962637
1,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.7019341624
1,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.839774213
1,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.8885955785
1,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
2,P=? [F crashed],0.07369863974
2,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
2,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.0225598243
2,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.5022383806
2,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.6312357784
2,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.7163358862
2,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.8156309166
2,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.91171533
2,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
3,P=? [F crashed],0.0196460566
3,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
3,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.05550514211
3,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.7469002113
3,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.7810038652
3,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.8267808712
3,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.8849746731
3,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.9531875914
3,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
