type_driver,property,probability
1,Pmin=? [ F crashed ],0.018910072524656634
1,Pmax=? [ F x=length ],0.9810899274753437
1,Pmax=? [ F (x=500 & t < 16) ],0.0
1,Pmax=? [ F (x=500 & t < 17) ],0.5830123245563787
1,Pmax=? [ F (x=500 & t < 18) ],0.8361643997783635
1,Pmax=? [ F (x=500 & t < 19) ],0.9671370236390056
1,Pmax=? [ F (x=500 & t < 20) ],0.9766022888648602
1,Pmax=? [ F (x=500 & t < 21) ],0.9810742232581526
1,Pmax=? [ F (x=500 & t < 22) ],0.981085371390612
1,Pmax=? [ F (x=500 & t < 23) ],0.9810899274753437
1,Pmax=? [ F (x=500 & t < 24) ],0.9810899274753437
1,Pmax=? [ F (x=500 & t < 25) ],0.9810899274753437
1,Pmax=? [ F (x=500 & t < 26) ],0.9810899274753437
1,Pmax=? [ F (x=500 & t < 27) ],0.9810899274753437
2,Pmin=? [ F crashed ],0.002078025676339642
2,Pmax=? [ F x=length ],0.9979219743236606
2,Pmax=? [ F (x=500 & t < 16) ],0.0
2,Pmax=? [ F (x=500 & t < 17) ],0.2585590600076854
2,Pmax=? [ F (x=500 & t < 18) ],0.6715327130345069
2,Pmax=? [ F (x=500 & t < 19) ],0.9798323562830242
2,Pmax=? [ F (x=500 & t < 20) ],0.9966958997948142
2,Pmax=? [ F (x=500 & t < 21) ],0.9979134892611112
2,Pmax=? [ F (x=500 & t < 22) ],0.9979190266577466
2,Pmax=? [ F (x=500 & t < 23) ],0.9979219743236606
2,Pmax=? [ F (x=500 & t < 24) ],0.9979219743236606
2,Pmax=? [ F (x=500 & t < 25) ],0.9979219743236606
2,Pmax=? [ F (x=500 & t < 26) ],0.9979219743236606
2,Pmax=? [ F (x=500 & t < 27) ],0.9979219743236606
3,Pmin=? [ F crashed ],0.0002226949905996048
3,Pmax=? [ F x=length ],0.9997773050094004
3,Pmax=? [ F (x=500 & t < 16) ],0.0
3,Pmax=? [ F (x=500 & t < 17) ],0.21670990613420538
3,Pmax=? [ F (x=500 & t < 18) ],0.5991895539968412
3,Pmax=? [ F (x=500 & t < 19) ],0.9884425328755578
3,Pmax=? [ F (x=500 & t < 20) ],0.9996340136093056
3,Pmax=? [ F (x=500 & t < 21) ],0.9997763258002356
3,Pmax=? [ F (x=500 & t < 22) ],0.9997769518844343
3,Pmax=? [ F (x=500 & t < 23) ],0.9997773050094004
3,Pmax=? [ F (x=500 & t < 24) ],0.9997773050094004
3,Pmax=? [ F (x=500 & t < 25) ],0.9997773050094004
3,Pmax=? [ F (x=500 & t < 26) ],0.9997773050094004
3,Pmax=? [ F (x=500 & t < 27) ],0.9997773050094004
