type_driver,property,probability
1,Pmin=? [ F crashed ],0.006012135967016725
1,Pmax=? [ F (x=500 & t < 16) ],0.0
1,Pmax=? [ F (x=500 & t < 17) ],0.0
1,Pmax=? [ F (x=500 & t < 18) ],0.0
1,Pmax=? [ F (x=500 & t < 19) ],0.3001964481288544
1,Pmax=? [ F (x=500 & t < 20) ],0.959379118660037
1,Pmax=? [ F (x=500 & t < 21) ],0.9895830489895905
1,Pmax=? [ F (x=500 & t < 22) ],0.9914080057573004
1,Pmax=? [ F (x=500 & t < 23) ],0.9928392481994762
1,Pmax=? [ F (x=500 & t < 24) ],0.9937226996880387
1,Pmax=? [ F (x=500 & t < 25) ],0.9939474176183345
1,Pmax=? [ F (x=500 & t < 26) ],0.9939731193172001
2,Pmin=? [ F crashed ],0.0032635271164091675
2,Pmax=? [ F (x=500 & t < 16) ],0.0
2,Pmax=? [ F (x=500 & t < 17) ],0.0
2,Pmax=? [ F (x=500 & t < 18) ],0.0
2,Pmax=? [ F (x=500 & t < 19) ],0.10303614044712017
2,Pmax=? [ F (x=500 & t < 20) ],0.8979618171056944
2,Pmax=? [ F (x=500 & t < 21) ],0.9947097377148133
2,Pmax=? [ F (x=500 & t < 22) ],0.9958541459126395
2,Pmax=? [ F (x=500 & t < 23) ],0.9964399447704779
2,Pmax=? [ F (x=500 & t < 24) ],0.9967215538576006
2,Pmax=? [ F (x=500 & t < 25) ],0.9967352511350991
2,Pmax=? [ F (x=500 & t < 26) ],0.9967361269634327
3,Pmin=? [ F crashed ],0.0009636143085741866
3,Pmax=? [ F (x=500 & t < 16) ],0.0
3,Pmax=? [ F (x=500 & t < 17) ],0.0
3,Pmax=? [ F (x=500 & t < 18) ],0.0
3,Pmax=? [ F (x=500 & t < 19) ],0.028226761192398794
3,Pmax=? [ F (x=500 & t < 20) ],0.6215810455727298
3,Pmax=? [ F (x=500 & t < 21) ],0.9743639398960419
3,Pmax=? [ F (x=500 & t < 22) ],0.9916555058374914
3,Pmax=? [ F (x=500 & t < 23) ],0.998905959799204
3,Pmax=? [ F (x=500 & t < 24) ],0.9990352735572268
3,Pmax=? [ F (x=500 & t < 25) ],0.9990361045940841
3,Pmax=? [ F (x=500 & t < 26) ],0.9990362912463104
