step,t,crashed,actrState,lC,x,v,a,k_chosen,lane,_da,__da
0,0,false,1,false,0,30,0,1,1,0,2
1,1,false,2,false,30,30,0,1,1,0,2
2,1,false,1,false,30,30,0,1,1,0,2
3,2,false,2,false,60,30,0,1,1,0,2
4,2,false,1,false,60,30,0,1,1,0,2
5,3,false,2,false,90,30,0,1,1,0,2
6,3,false,1,true,90,30,0,1,1,0,2
7,7,false,2,false,207,30,0,3,2,0,2
8,7,false,1,true,207,30,0,3,2,0,2
9,11,false,2,false,321,30,0,3,1,0,2
10,11,false,1,false,321,30,0,3,1,0,2
11,12,false,2,false,351,30,0,3,1,0,2
12,12,false,1,false,351,30,0,3,1,0,2
13,13,false,2,false,381,30,0,3,1,0,2
14,13,false,1,false,381,30,0,3,1,0,2
15,14,false,2,false,400,30,0,3,1,1,2
