step,t,crashed,actrState,lC,x,v,a,lane
0,0,false,1,false,0,20,0,1
1,1,false,2,false,20,20,3,1
2,1,false,1,false,20,20,3,1
3,2,false,2,false,40,23,3,1
4,2,false,1,false,40,23,3,1
5,3,false,2,false,63,26,3,1
6,3,false,1,true,63,26,3,1
7,9,false,2,false,228,27,0,2
8,9,false,1,false,228,27,0,2
9,10,false,2,false,255,27,0,2
10,10,false,1,true,255,27,0,2
11,16,false,2,false,422,28,0,1
12,16,false,1,false,422,28,0,1
13,17,false,2,false,450,28,0,1
14,17,false,1,false,450,28,0,1
15,18,false,2,false,478,28,0,1
16,18,false,1,false,478,28,0,1
17,19,false,2,false,500,28,0,1
