step,t,crashed,actrState,lC,x,v,a,lane
0,0,false,1,false,0,20,0,1
1,1,false,2,false,20,20,3,1
2,1,false,1,false,20,20,3,1
3,2,false,2,false,40,23,3,1
4,2,false,1,false,40,23,3,1
5,3,false,2,false,63,26,3,1
6,3,false,1,false,63,26,3,1
7,4,false,2,false,89,29,2,1
8,4,false,1,false,89,29,2,1
9,5,false,2,false,118,31,2,1
10,5,false,1,true,118,31,2,1
11,11,false,2,false,292,31,0,2
12,11,false,1,false,292,31,0,2
13,12,false,2,false,323,31,0,2
14,12,false,1,false,323,31,0,2
15,13,false,2,false,354,31,0,2
16,13,false,1,false,354,31,0,2
17,14,false,2,false,385,31,0,2
18,14,false,1,false,385,31,0,2
19,15,false,2,false,416,31,0,2
20,15,false,1,false,416,31,0,2
21,16,false,2,false,447,31,0,2
22,16,false,1,false,447,31,0,2
23,17,false,2,false,478,31,0,2
24,17,false,1,false,478,31,0,2
25,18,false,2,false,500,31,0,2
