step,__da,_da,t,crashed,actrState,lC,x,v,a,lane
0,0,0,0,false,1,false,0,20,0,1
1,0,0,1,false,2,false,20,20,3,1
2,0,0,1,false,1,false,20,20,3,1
3,0,0,2,false,2,false,40,23,3,1
4,0,0,2,false,1,false,40,23,3,1
5,0,0,3,false,2,false,63,26,3,1
6,0,0,3,false,1,true,63,26,3,1
7,0,0,9,false,2,false,228,27,0,2
8,0,0,9,false,1,false,228,27,0,2
9,0,0,10,false,2,false,255,27,0,2
10,0,0,10,false,1,true,255,27,0,2
11,0,0,16,false,2,false,422,28,0,1
12,0,0,16,false,1,false,422,28,0,1
13,0,0,17,false,2,false,450,28,0,1
14,0,0,17,false,1,false,450,28,0,1
15,0,0,18,false,2,false,478,28,0,1
16,0,0,18,false,1,false,478,28,0,1
17,1,1,19,false,2,false,500,28,0,1
