t_end,type,v,crashed,lane,x_t_1,x_t_2,x_t_3,y_t_1,y_t_2,y_t_3,y_t_4,y_t_5,y_t_6,y_t_7
1,1,20,0,1,0,0,0,0,0,0,0,0,0,0
2,1,20,0,1,0,0,0,0,0,0,0,0,0,0
3,1,23,0,1,0,0,0,0,0,0,0,0,0,0
4,1,26,0,1,0,0,0,0,0,0,0,0,0,0
5,1,29,0,1,0,0,0,0,0,0,0,0,0,0
11,2,31,0,1,-0.40164,31.452,-0.11676,0.00043017,-0.010197,0.09934,-0.49737,1.1759,-0.12264,1.8529
12,1,31,0,2,0,0,0,0,0,0,0,0,0,0
13,1,31,0,2,0,0,0,0,0,0,0,0,0,0
14,1,31,0,2,0,0,0,0,0,0,0,0,0,0
15,1,31,0,2,0,0,0,0,0,0,0,0,0,0
16,1,31,0,2,0,0,0,0,0,0,0,0,0,0
17,1,31,0,2,0,0,0,0,0,0,0,0,0,0
27,1,27,0,2,0,0,0,0,0,0,0,0,0,0
29,2,33,0,1,-0.63393,33.508,0.016469,0.00043017,-0.010197,0.09934,-0.49737,1.1759,-0.12264,1.8529
29,1,33,0,1,0,0,0,0,0,0,0,0,0,0
