t_end,type,v,crashed,lane,x_t_1,x_t_2,x_t_3,y_t_1,y_t_2,y_t_3,y_t_4,y_t_5,y_t_6,y_t_7
1,1,20,0,1,0,0,0,0,0,0,0,0,0,0
7,2,26,0,1,0.51942,20.873,-0.84277,0.00043017,-0.010197,0.09934,-0.49737,1.1759,-0.12264,1.8529
8,1,26,0,2,0,0,0,0,0,0,0,0,0,0
9,1,26,0,2,0,0,0,0,0,0,0,0,0,0
10,1,26,0,2,0,0,0,0,0,0,0,0,0,0
11,1,26,0,2,0,0,0,0,0,0,0,0,0,0
12,1,26,0,2,0,0,0,0,0,0,0,0,0,0
13,1,26,0,2,0,0,0,0,0,0,0,0,0,0
18,2,29,0,2,-0.46261,31.931,1.518,-0.00043017,0.010197,-0.09934,0.49737,-1.1759,0.12264,5.5471
19,1,28,0,1,0,0,0,0,0,0,0,0,0,0
20,1,28,0,1,0,0,0,0,0,0,0,0,0,0
21,2,31,0,2,-0.34141,30.72,1.3456,-0.00043017,0.010197,-0.09934,0.49737,-1.1759,0.12264,5.5471
22,1,27,0,2,0,0,0,0,0,0,0,0,0,0
23,1,27,0,2,0,0,0,0,0,0,0,0,0,0
24,2,31,0,1,-0.58159,32.998,0.55784,0.00043017,-0.010197,0.09934,-0.49737,1.1759,-0.12264,1.8529
25,1,27,0,1,0,0,0,0,0,0,0,0,0,0
26,1,27,0,1,0,0,0,0,0,0,0,0,0,0
27,2,26,0,1,0.063281,27.817,-1.0483,0.00043017,-0.010197,0.09934,-0.49737,1.1759,-0.12264,1.8529
