step,t,crashed,actrState,lC,x,v,a,lane
0,0,false,1,false,0,20,0,1
1,1,false,2,false,20,20,3,1
2,1,false,1,true,20,20,3,1
3,7,false,2,false,163,26,0,2
4,7,false,1,false,163,26,0,2
5,8,false,2,false,189,26,0,2
6,8,false,1,false,189,26,0,2
7,9,false,2,false,215,26,0,2
8,9,false,1,false,215,26,0,2
9,10,false,2,false,241,26,0,2
10,10,false,1,false,241,26,0,2
11,11,false,2,false,267,26,0,2
12,11,false,1,false,267,26,0,2
13,12,false,2,false,293,26,0,2
14,12,false,1,false,293,26,0,2
15,13,false,2,false,319,26,0,2
16,13,false,1,true,319,26,0,2
17,19,false,1,false,499,33,0,1
18,18,false,2,false,481,29,0,1
19,20,false,1,false,500,28,0,1
20,19,false,2,false,500,29,0,1
21,20,false,2,false,500,29,0,1
22,20,false,1,true,500,27,0,2
23,21,false,1,true,500,31,0,2
24,21,false,1,false,500,27,0,2
25,22,false,1,false,500,31,0,2
26,21,false,2,false,500,31,0,1
27,23,false,1,false,500,27,0,1
28,22,false,2,false,500,26,0,2
29,23,false,2,false,500,29,0,2
30,23,false,1,false,500,33,0,2
31,24,false,1,true,500,33,0,2
32,24,false,1,false,500,28,0,1
33,25,false,1,false,500,33,0,1
34,24,false,2,false,500,31,0,2
35,26,false,1,false,500,27,0,2
36,25,false,2,false,500,27,0,1
37,26,false,2,false,500,31,0,1
38,26,false,1,true,500,26,0,2
39,27,false,2,false,500,26,0,2
40,27,false,1,false,500,29,0,1
