o_lane,d,vi1,vi2,Acc?,delta_x1,vf1,delta_x2,delta_t
1,1,15,15,1,159,19,135,9
1,2,15,15,1,159,19,135,9
1,3,15,15,0,159,19,135,9
1,4,15,15,0,159,19,135,9
1,5,15,15,0,159,19,135,9
1,6,15,15,0,159,19,135,9
1,7,15,15,0,159,19,135,9
1,8,15,15,0,159,19,135,9
1,9,15,15,0,159,19,135,9
1,10,15,15,0,159,19,135,9
1,1,16,15,1,167,20,135,9
1,2,16,15,1,167,20,135,9
1,3,16,15,1,167,20,135,9
1,4,16,15,1,167,20,135,9
1,5,16,15,0,167,20,135,9
1,6,16,15,0,167,20,135,9
1,7,16,15,0,167,20,135,9
1,8,16,15,0,167,20,135,9
1,9,16,15,0,167,20,135,9
1,10,16,15,0,167,20,135,9
1,1,17,15,1,175,21,135,9
1,2,17,15,1,175,21,135,9
1,3,17,15,1,175,21,135,9
1,4,17,15,1,175,21,135,9
1,5,17,15,1,175,21,135,9
1,6,17,15,0,175,21,135,9
1,7,17,15,0,175,21,135,9
1,8,17,15,0,175,21,135,9
1,9,17,15,0,175,21,135,9
1,10,17,15,0,175,21,135,9
1,1,18,15,1,183,22,135,9
1,2,18,15,1,183,22,135,9
1,3,18,15,1,183,22,135,9
1,4,18,15,1,183,22,135,9
1,5,18,15,1,183,22,135,9
1,6,18,15,1,183,22,135,9
1,7,18,15,1,183,22,135,9
1,8,18,15,0,183,22,135,9
1,9,18,15,0,183,22,135,9
1,10,18,15,0,183,22,135,9
1,1,19,15,1,191,22,135,9
1,2,19,15,1,191,22,135,9
1,3,19,15,1,191,22,135,9
1,4,19,15,1,191,22,135,9
1,5,19,15,1,191,22,135,9
1,6,19,15,1,191,22,135,9
1,7,19,15,1,191,22,135,9
1,8,19,15,1,191,22,135,9
1,9,19,15,1,191,22,135,9
1,10,19,15,0,191,22,135,9
1,1,20,15,1,199,23,135,9
1,2,20,15,1,199,23,135,9
1,3,20,15,1,199,23,135,9
1,4,20,15,1,199,23,135,9
1,5,20,15,1,199,23,135,9
1,6,20,15,1,199,23,135,9
1,7,20,15,1,199,23,135,9
1,8,20,15,1,199,23,135,9
1,9,20,15,1,199,23,135,9
1,10,20,15,1,199,23,135,9
1,1,21,15,1,207,24,135,9
1,2,21,15,1,207,24,135,9
1,3,21,15,1,207,24,135,9
1,4,21,15,1,207,24,135,9
1,5,21,15,1,207,24,135,9
1,6,21,15,1,207,24,135,9
1,7,21,15,1,207,24,135,9
1,8,21,15,1,207,24,135,9
1,9,21,15,1,207,24,135,9
1,10,21,15,1,207,24,135,9
1,1,22,15,1,215,25,135,9
1,2,22,15,1,215,25,135,9
1,3,22,15,1,215,25,135,9
1,4,22,15,1,215,25,135,9
1,5,22,15,1,215,25,135,9
1,6,22,15,1,215,25,135,9
1,7,22,15,1,215,25,135,9
1,8,22,15,1,215,25,135,9
1,9,22,15,1,215,25,135,9
1,10,22,15,1,215,25,135,9
1,1,23,15,1,223,26,135,9
1,2,23,15,1,223,26,135,9
1,3,23,15,1,223,26,135,9
1,4,23,15,1,223,26,135,9
1,5,23,15,1,223,26,135,9
1,6,23,15,1,223,26,135,9
1,7,23,15,1,223,26,135,9
1,8,23,15,1,223,26,135,9
1,9,23,15,1,223,26,135,9
1,10,23,15,1,223,26,135,9
1,1,24,15,1,232,27,135,9
1,2,24,15,1,232,27,135,9
1,3,24,15,1,232,27,135,9
1,4,24,15,1,232,27,135,9
1,5,24,15,1,232,27,135,9
1,6,24,15,1,232,27,135,9
1,7,24,15,1,232,27,135,9
1,8,24,15,1,232,27,135,9
1,9,24,15,1,232,27,135,9
1,10,24,15,1,232,27,135,9
1,1,25,15,1,240,28,135,9
1,2,25,15,1,240,28,135,9
1,3,25,15,1,240,28,135,9
1,4,25,15,1,240,28,135,9
1,5,25,15,1,240,28,135,9
1,6,25,15,1,240,28,135,9
1,7,25,15,1,240,28,135,9
1,8,25,15,1,240,28,135,9
1,9,25,15,1,240,28,135,9
1,10,25,15,1,240,28,135,9
1,1,26,15,1,248,28,135,9
1,2,26,15,1,248,28,135,9
1,3,26,15,1,248,28,135,9
1,4,26,15,1,248,28,135,9
