o_lane,d,vi1,vi2,Acc?,delta_x1,vf1,delta_x2,delta_t
1,1,15,15,1,125,24,89,6
1,2,15,15,1,125,24,88,6
1,3,15,15,1,125,24,87,6
1,4,15,15,1,124,24,86,6
1,5,15,15,0.96,123,24,85,6
1,6,15,15,0.86,125,24,84,6
1,7,15,15,0.9,124,24,83,6
1,8,15,15,0.73,122,24,82,6
1,9,15,15,0.52,120,23,81,6
1,10,15,15,0.48,122,23,80,6
1,11,15,15,0.43,123,23,79,6
1,12,15,15,0.22,123,23,78,6
1,13,15,15,0.15,120,23,77,6
1,14,15,15,0.11,120,23,76,6
1,15,15,15,0.06,121,22,75,6
1,16,15,15,0.04,119,22,74,6
1,17,15,15,0.01,119,22,73,6
1,18,15,15,0,119,22,72,6
1,19,15,15,0,118,22,71,6
1,20,15,15,0,116,22,70,6
1,21,15,15,0,119,23,69,6
1,22,15,15,0,119,23,68,6
1,23,15,15,0,118,22,67,6
1,24,15,15,0,117,22,66,6
1,25,15,15,0,116,22,65,6
1,26,15,15,0,119,23,64,6
1,27,15,15,0,119,22,63,6
1,28,15,15,0,117,22,62,6
1,29,15,15,0,116,22,61,6
1,30,15,15,0,113,22,60,6
1,31,15,15,0,114,22,59,6
1,32,15,15,0,113,22,58,6
1,33,15,15,0,112,21,57,6
1,34,15,15,0,113,21,56,6
1,35,15,15,0,112,21,55,6
1,36,15,15,0,112,22,54,6
1,37,15,15,0,112,21,53,6
1,38,15,15,0,110,21,52,6
1,39,15,15,0,109,21,51,6
1,40,15,15,0,112,22,50,6
1,41,15,15,0,111,21,49,6
1,42,15,15,0,110,21,48,6
1,43,15,15,0,109,20,47,6
1,1,16,15,1,132,25,89,6
1,2,16,15,1,130,25,88,6
1,3,16,15,1,129,25,87,6
1,4,16,15,1,130,24,86,6
1,5,16,15,0.99,128,24,85,6
1,6,16,15,0.93,128,24,84,6
1,7,16,15,0.96,129,24,83,6
1,8,16,15,0.92,128,24,82,6
1,9,16,15,0.81,130,25,81,6
1,10,16,15,0.74,128,24,80,6
1,11,16,15,0.66,129,24,79,6
1,12,16,15,0.53,129,24,78,6
1,13,16,15,0.37,129,24,77,6
1,14,16,15,0.24,129,24,76,6
1,15,16,15,0.16,127,24,75,6
1,16,16,15,0.1,127,24,74,6
1,17,16,15,0.03,127,24,73,6
1,18,16,15,0.01,128,24,72,6
1,19,16,15,0,124,23,71,6
1,20,16,15,0.02,124,23,70,6
1,21,16,15,0,124,23,69,6
1,22,16,15,0,123,23,68,6
1,23,16,15,0,123,23,67,6
1,24,16,15,0,125,24,66,6
1,25,16,15,0,124,23,65,6
1,26,16,15,0,125,24,64,6
1,27,16,15,0,122,23,63,6
1,28,16,15,0,122,23,62,6
1,29,16,15,0,121,23,61,6
1,30,16,15,0,120,22,60,6
1,31,16,15,0,121,23,59,6
1,32,16,15,0,121,22,58,6
1,33,16,15,0,120,22,57,6
1,34,16,15,0,119,23,56,6
1,35,16,15,0,117,22,55,6
1,36,16,15,0,120,22,54,6
1,37,16,15,0,118,23,53,6
1,38,16,15,0,119,23,52,6
