type_driver,property,probability
1,P=? [F crashed],0.00817453174
1,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
1,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.182546826
1,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.8367192949
1,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.881676874
1,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.9237986672
1,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.9626108911
1,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
2,P=? [F crashed],0.009896206628
2,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
2,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.01037933721
2,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.9631720185
2,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.9768621409
2,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.9872524718
2,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.9946530687
2,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
3,P=? [F crashed],0.009996767205
3,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
3,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0003232794754
3,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.9964401545
3,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.9981487295
3,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.999127277
3,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.9996893982
3,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
