type_driver,property,probability
1,P=? [F crashed],0.1262284705
1,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
1,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.009121104763
1,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.1585921266
1,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.2944748737
1,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.7008206503
1,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.9463316297
1,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
2,P=? [F crashed],0.03271750778
2,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
2,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.08751191096
2,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.3307447601
2,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.6173827977
2,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.7049430269
2,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.8750395475
2,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
3,P=? [F crashed],0.00840564775
3,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
3,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.1867256306
3,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.4557687729
3,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.8876036037
3,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.8973212016
3,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.9373864606
3,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
