type_driver,property,probability
1,P=? [F crashed],0.1643693922
1,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
1,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.1865077656
1,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.6450432025
1,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.8490235371
1,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.9801520563
1,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],0.9982339976
1,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],0.9998851971
1,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
2,P=? [F crashed],0.01785044615
2,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
2,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.1280551337
2,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.5214915408
2,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.8094135823
2,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.946562389
2,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],0.989045476
2,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],0.9988608957
2,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
3,P=? [F crashed],0.001560373471
3,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
3,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.05851933633
3,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.2384383152
3,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.5027405548
3,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.7535336618
3,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],0.9181913765
3,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],0.9963709379
3,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
