type_driver,property,probability
1,P=? [F crashed],0.4819398575
1,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
1,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.8439342509
1,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.99960033
1,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.9999671026
1,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.9999978336
1,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.9999998967
1,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],0.9999999973
1,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
2,P=? [F crashed],0.1760623975
2,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
2,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.4950674452
2,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.9741958519
2,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.9941865542
2,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.9989877748
2,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.9998701306
2,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],0.9999903873
2,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
3,P=? [F crashed],0.05839043578
3,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
3,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.1551097073
3,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.7353405713
3,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.8713691205
3,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.948760328
3,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.984404054
3,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],0.9973792278
3,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
