o_lane,d,vi1,vi2,Acc?,delta_x1,vf1,delta_x2,delta_t
1,1,15,15,1,127,24,89,6
1,2,15,15,1,125,23,88,6
1,3,15,15,1,125,24,87,6
1,4,15,15,1,124,23,86,6
1,5,15,15,0.964,124,24,85,6
1,6,15,15,0.872,124,23,84,6
1,7,15,15,0.828,124,23,83,6
1,8,15,15,0.76,124,23,82,6
1,9,15,15,0.62,122,23,81,6
1,10,15,15,0.46,122,23,80,6
1,11,15,15,0.316,122,23,79,6
1,12,15,15,0.248,122,23,78,6
1,13,15,15,0.128,121,23,77,6
1,14,15,15,0.068,120,23,76,6
1,15,15,15,0.052,121,23,75,6
1,16,15,15,0.016,120,23,74,6
1,17,15,15,0.008,119,23,73,6
1,18,15,15,0.004,119,22,72,6
1,19,15,15,0,118,22,71,6
1,20,15,15,0,118,22,70,6
1,21,15,15,0,119,22,69,6
1,22,15,15,0,117,22,68,6
1,23,15,15,0,118,22,67,6
1,24,15,15,0,118,22,66,6
1,25,15,15,0,117,22,65,6
1,26,15,15,0,116,22,64,6
1,27,15,15,0,115,22,63,6
1,28,15,15,0,115,22,62,6
1,29,15,15,0,115,22,61,6
1,30,15,15,0,115,22,60,6
1,31,15,15,0,115,22,59,6
1,32,15,15,0,114,21,58,6
1,33,15,15,0,114,22,57,6
1,34,15,15,0,114,22,56,6
1,35,15,15,0,113,22,55,6
1,36,15,15,0,113,21,54,6
1,37,15,15,0,111,21,53,6
1,38,15,15,0,111,21,52,6
1,39,15,15,0,112,22,51,6
1,40,15,15,0,110,21,50,6
1,41,15,15,0,110,21,49,6
1,42,15,15,0,109,21,48,6
1,43,15,15,0,109,21,47,6
1,1,16,15,1,131,25,89,6
1,2,16,15,1,131,25,88,6
1,3,16,15,1,131,25,87,6
1,4,16,15,1,132,25,86,6
1,5,16,15,1,129,25,85,6
1,6,16,15,0.964,129,24,84,6
1,7,16,15,0.944,130,25,83,6
1,8,16,15,0.88,129,25,82,6
1,9,16,15,0.808,129,24,81,6
1,10,16,15,0.664,128,24,80,6
1,11,16,15,0.596,128,24,79,6
1,12,16,15,0.424,127,24,78,6
1,13,16,15,0.324,127,24,77,6
1,14,16,15,0.18,126,24,76,6
1,15,16,15,0.132,127,24,75,6
1,16,16,15,0.052,126,24,74,6
1,17,16,15,0.04,125,24,73,6
1,18,16,15,0.04,125,24,72,6
1,19,16,15,0.012,126,24,71,6
1,20,16,15,0.004,124,24,70,6
1,21,16,15,0.008,125,24,69,6
1,22,16,15,0,124,24,68,6
1,23,16,15,0,124,24,67,6
1,24,16,15,0,123,23,66,6
1,25,16,15,0,123,24,65,6
1,26,16,15,0,123,24,64,6
1,27,16,15,0,123,23,63,6
1,28,16,15,0,121,23,62,6
1,29,16,15,0,123,23,61,6
1,30,16,15,0,120,23,60,6
1,31,16,15,0,121,23,59,6
1,32,16,15,0,120,23,58,6
1,33,16,15,0,120,23,57,6
1,34,16,15,0,120,23,56,6
1,35,16,15,0,119,22,55,6
1,36,16,15,0,119,23,54,6
1,37,16,15,0,119,23,53,6
1,38,16,15,0,118,22,52,6
1,39,16,15,0,118,22,51,6
1,40,16,15,0,116,22,50,6
1,41,16,15,0,117,22,49,6
1,42,16,15,0,116,22,48,6
1,43,16,15,0,116,22,47,6
1,1,17,15,1,138,26,89,6
1,2,17,15,1,136,25,88,6
1,3,17,15,1,137,25,87,6
1,4,17,15,1,135,25,86,6
1,5,17,15,1,136,25,85,6
1,6,17,15,1,134,25,84,6
1,7,17,15,0.992,135,25,83,6
1,8,17,15,0.968,135,25,82,6
1,9,17,15,0.924,135,25,81,6
1,10,17,15,0.884,134,25,80,6
1,11,17,15,0.756,134,25,79,6
1,12,17,15,0.692,134,25,78,6
1,13,17,15,0.552,133,25,77,6
1,14,17,15,0.404,132,25,76,6
