type_driver,property,probability
1,P=? [F crashed],0.006323107431
1,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
1,P=? [F ((x = 500) & (t < 16))],0.0
1,P=? [F ((x = 500) & (t < 17))],0.3315632599
1,P=? [F ((x = 500) & (t < 18))],0.961310968
1,P=? [F ((x = 500) & (t < 19))],0.980163383
1,P=? [F ((x = 500) & (t < 20))],0.9912181183
1,P=? [F ((x = 500) & (t < 21))],0.9972386972
1,P=? [F ((x = 500) & (t < 22))],0.9997514827
1,P=? [F ((x = 500) & (t < 23))],0.9997514827
1,P=? [F ((x = 500) & (t < 24))],0.9997514827
1,P=? [F ((x = 500) & (t < 25))],0.9997514827
1,P=? [F ((x = 500) & (t < 26))],0.9997514827
1,P=? [F ((x = 500) & (t < 27))],0.9997514827
1,P=? [F ((x = 500) & (t < 28))],0.9997514827
2,P=? [F crashed],0.001794977197
2,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
2,P=? [F ((x = 500) & (t < 16))],0.0
2,P=? [F ((x = 500) & (t < 17))],0.1148090729
2,P=? [F ((x = 500) & (t < 18))],0.998159779
2,P=? [F ((x = 500) & (t < 19))],0.9993273296
2,P=? [F ((x = 500) & (t < 20))],0.9997936085
2,P=? [F ((x = 500) & (t < 21))],0.999953789
2,P=? [F ((x = 500) & (t < 22))],0.999995841
2,P=? [F ((x = 500) & (t < 23))],0.999995841
2,P=? [F ((x = 500) & (t < 24))],0.999995841
2,P=? [F ((x = 500) & (t < 25))],0.999995841
2,P=? [F ((x = 500) & (t < 26))],0.999995841
2,P=? [F ((x = 500) & (t < 27))],0.999995841
2,P=? [F ((x = 500) & (t < 28))],0.999995841
3,P=? [F crashed],0.000333851291
3,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
3,P=? [F ((x = 500) & (t < 16))],0.0
3,P=? [F ((x = 500) & (t < 17))],0.03337776007
3,P=? [F ((x = 500) & (t < 18))],0.9999136717
3,P=? [F ((x = 500) & (t < 19))],0.9999776637
3,P=? [F ((x = 500) & (t < 20))],0.9999949761
3,P=? [F ((x = 500) & (t < 21))],0.9999991648
3,P=? [F ((x = 500) & (t < 22))],0.9999999248
3,P=? [F ((x = 500) & (t < 23))],0.9999999248
3,P=? [F ((x = 500) & (t < 24))],0.9999999248
3,P=? [F ((x = 500) & (t < 25))],0.9999999248
3,P=? [F ((x = 500) & (t < 26))],0.9999999248
3,P=? [F ((x = 500) & (t < 27))],0.9999999248
3,P=? [F ((x = 500) & (t < 28))],0.9999999248
