action,step,t,crashed,actrState,lC,x,v,a,lane
-,0,0,false,1,false,0,28,0,1
Control,1,1,false,2,false,28,28,1,1
Decision_Making_Monitoring,2,1,false,1,true,28,28,1,1
Control,3,7,false,2,false,196,28,0,2
Decision_Making_Monitoring,4,7,false,1,false,196,28,0,2
Control,5,8,false,2,false,224,28,0,2
Decision_Making_Monitoring,6,8,false,1,true,224,28,0,2
Control,7,14,false,2,false,375,28,0,1
Decision_Making_Monitoring,8,14,false,1,false,375,28,0,1
Control,9,15,false,2,false,403,28,0,1
Decision_Making_Monitoring,10,15,false,1,false,403,28,0,1
Control,11,16,false,2,false,431,28,0,1
Decision_Making_Monitoring,12,16,false,1,false,431,28,0,1
Control,13,17,false,2,false,459,28,0,1
Decision_Making_Monitoring,14,17,false,1,false,459,28,0,1
Control,15,18,false,2,false,487,28,0,1
Decision_Making_Monitoring,16,18,false,1,false,487,28,0,1
Control,17,19,false,2,false,500,28,0,1
Decision_Making_Monitoring,18,19,false,1,false,500,28,0,1
Control,19,20,false,2,false,500,28,0,1
Decision_Making_Monitoring,20,20,false,1,false,500,28,0,1
Control,21,21,false,2,false,500,28,0,1
Decision_Making_Monitoring,22,21,false,1,false,500,28,0,1
Control,23,22,false,2,false,500,28,0,1
Decision_Making_Monitoring,24,22,false,1,false,500,28,0,1
Control,25,23,false,2,false,500,28,0,1
Decision_Making_Monitoring,26,23,false,1,false,500,28,0,1
Control,27,24,false,2,false,500,28,0,1
Decision_Making_Monitoring,28,24,false,1,false,500,28,0,1
Control,29,25,false,2,false,500,28,0,1
Decision_Making_Monitoring,30,25,false,1,false,500,28,0,1
Control,31,26,false,2,false,500,28,0,1
Decision_Making_Monitoring,32,26,false,1,false,500,28,0,1
Control,33,27,false,2,false,500,28,0,1
Decision_Making_Monitoring,34,27,false,1,false,500,28,0,1
Control,35,28,false,2,false,500,28,0,1
Decision_Making_Monitoring,36,28,false,1,false,500,28,0,1
Control,37,29,false,2,false,500,28,0,1
Decision_Making_Monitoring,38,29,false,1,false,500,28,0,1
Control,39,30,false,2,false,500,28,0,1
Decision_Making_Monitoring,40,30,false,1,false,500,28,0,1
Control,41,31,false,2,false,500,28,0,1
Decision_Making_Monitoring,42,31,false,1,false,500,28,0,1
Control,43,32,false,2,false,500,28,0,1
Decision_Making_Monitoring,44,32,false,1,false,500,28,0,1
Control,45,33,false,2,false,500,28,0,1
Decision_Making_Monitoring,46,33,false,1,false,500,28,0,1
Control,47,34,false,2,false,500,28,0,1
Decision_Making_Monitoring,48,34,false,1,false,500,28,0,1
Control,49,35,false,2,false,500,28,0,1
Decision_Making_Monitoring,50,35,false,1,false,500,28,0,1
