lane,type,d,v,delta_crash,P_lC,P_nlC
1,1,1,15,0.07,0.76,0.24
1,1,1,16,0.06,0.77,0.23
1,1,1,17,0.06,0.77,0.23
1,1,1,18,0.06,0.78,0.22
1,1,1,19,0.05,0.79,0.21
1,1,1,20,0.05,0.79,0.21
1,1,1,21,0.05,0.8,0.2
1,1,1,22,0.05,0.8,0.2
1,1,1,23,0.04,0.81,0.19
1,1,1,24,0.04,0.81,0.19
1,1,1,25,0.04,0.81,0.19
1,1,1,26,0.04,0.82,0.18
1,1,1,27,0.04,0.82,0.18
1,1,1,28,0.04,0.82,0.18
1,1,1,29,0.03,0.83,0.17
1,1,1,30,0.03,0.83,0.17
1,1,1,31,0.03,0.83,0.17
1,1,1,32,0.03,0.83,0.17
1,1,1,33,0.03,0.83,0.17
1,1,1,34,0.03,0.84,0.16
1,1,2,15,0.13,0.72,0.28
1,1,2,16,0.13,0.73,0.27
1,1,2,17,0.12,0.74,0.26
1,1,2,18,0.11,0.75,0.25
1,1,2,19,0.11,0.76,0.24
1,1,2,20,0.1,0.77,0.23
1,1,2,21,0.1,0.77,0.23
1,1,2,22,0.09,0.78,0.22
1,1,2,23,0.09,0.79,0.21
1,1,2,24,0.08,0.79,0.21
1,1,2,25,0.08,0.8,0.2
1,1,2,26,0.08,0.8,0.2
1,1,2,27,0.07,0.81,0.19
1,1,2,28,0.07,0.81,0.19
1,1,2,29,0.07,0.81,0.19
1,1,2,30,0.07,0.82,0.18
1,1,2,31,0.06,0.82,0.18
1,1,2,32,0.06,0.82,0.18
1,1,2,33,0.06,0.83,0.17
1,1,2,34,0.06,0.83,0.17
1,1,3,15,0.2,0.69,0.31
1,1,3,16,0.19,0.71,0.29
1,1,3,17,0.18,0.72,0.28
1,1,3,18,0.17,0.73,0.27
1,1,3,19,0.16,0.74,0.26
1,1,3,20,0.15,0.75,0.25
1,1,3,21,0.14,0.76,0.24
1,1,3,22,0.14,0.77,0.23
1,1,3,23,0.13,0.77,0.23
1,1,3,24,0.13,0.78,0.22
1,1,3,25,0.12,0.79,0.21
1,1,3,26,0.12,0.79,0.21
1,1,3,27,0.11,0.8,0.2
1,1,3,28,0.11,0.8,0.2
1,1,3,29,0.1,0.81,0.19
1,1,3,30,0.1,0.81,0.19
1,1,3,31,0.1,0.82,0.18
1,1,3,32,0.09,0.82,0.18
1,1,3,33,0.09,0.83,0.17
1,1,3,34,0.09,0.83,0.17
1,1,4,15,0.27,0.66,0.34
1,1,4,16,0.25,0.67,0.33
1,1,4,17,0.24,0.69,0.31
1,1,4,18,0.22,0.7,0.3
1,1,4,19,0.21,0.71,0.29
1,1,4,20,0.2,0.72,0.28
1,1,4,21,0.19,0.74,0.26
1,1,4,22,0.18,0.74,0.26
1,1,4,23,0.17,0.75,0.25
1,1,4,24,0.17,0.76,0.24
1,1,4,25,0.16,0.77,0.23
1,1,4,26,0.15,0.78,0.22
1,1,4,27,0.15,0.78,0.22
1,1,4,28,0.14,0.79,0.21
1,1,4,29,0.14,0.8,0.2
1,1,4,30,0.13,0.8,0.2
1,1,4,31,0.13,0.81,0.19
1,1,4,32,0.13,0.81,0.19
1,1,4,33,0.12,0.82,0.18
1,1,4,34,0.12,0.82,0.18
