o_lane,d,vi1,vi2,Acc?,delta_x1,vf1,delta_x2,delta_t
1,1,15,15,1,126,24,89,6
1,2,15,15,1,126,24,88,6
1,3,15,15,1,125,24,87,6
1,4,15,15,1,125,24,86,6
1,5,15,15,1,125,24,85,6
1,6,15,15,1,124,24,84,6
1,7,15,15,1,124,24,83,6
1,8,15,15,1,123,23,82,6
1,9,15,15,1,123,23,81,6
1,10,15,15,0.3,123,23,80,6
1,11,15,15,0,122,23,79,6
1,12,15,15,0,122,23,78,6
1,13,15,15,0,122,23,77,6
1,14,15,15,0,121,23,76,6
1,15,15,15,0,121,23,75,6
1,16,15,15,0,121,23,74,6
1,17,15,15,0,120,23,73,6
1,18,15,15,0,120,23,72,6
1,19,15,15,0,120,23,71,6
1,20,15,15,0,119,23,70,6
1,21,15,15,0,119,23,69,6
1,22,15,15,0,119,23,68,6
1,23,15,15,0,118,22,67,6
1,24,15,15,0,118,22,66,6
1,25,15,15,0,118,22,65,6
1,26,15,15,0,117,22,64,6
1,27,15,15,0,117,22,63,6
1,28,15,15,0,117,22,62,6
1,29,15,15,0,116,22,61,6
1,30,15,15,0,116,22,60,6
1,31,15,15,0,116,22,59,6
1,32,15,15,0,115,22,58,6
1,33,15,15,0,115,22,57,6
1,34,15,15,0,115,22,56,6
1,35,15,15,0,114,22,55,6
1,36,15,15,0,114,22,54,6
1,37,15,15,0,113,21,53,6
1,38,15,15,0,113,21,52,6
1,39,15,15,0,113,21,51,6
1,40,15,15,0,113,21,50,6
1,41,15,15,0,112,21,49,6
1,42,15,15,0,112,21,48,6
1,43,15,15,0,111,21,47,6
1,1,16,15,1,132,25,89,6
1,2,16,15,1,131,25,88,6
1,3,16,15,1,131,25,87,6
1,4,16,15,1,131,25,86,6
1,5,16,15,1,130,25,85,6
1,6,16,15,1,130,25,84,6
1,7,16,15,1,130,25,83,6
1,8,16,15,1,130,25,82,6
1,9,16,15,1,129,24,81,6
1,10,16,15,1,129,24,80,6
1,11,16,15,0.992,129,24,79,6
1,12,16,15,0.18,128,24,78,6
1,13,16,15,0,128,24,77,6
1,14,16,15,0,128,24,76,6
1,15,16,15,0,127,24,75,6
1,16,16,15,0,127,24,74,6
1,17,16,15,0,127,24,73,6
1,18,16,15,0,126,24,72,6
1,19,16,15,0,126,24,71,6
1,20,16,15,0,126,24,70,6
1,21,16,15,0,125,24,69,6
1,22,16,15,0,125,24,68,6
1,23,16,15,0,125,24,67,6
1,24,16,15,0,124,23,66,6
1,25,16,15,0,124,23,65,6
1,26,16,15,0,124,23,64,6
1,27,16,15,0,123,23,63,6
1,28,16,15,0,123,23,62,6
1,29,16,15,0,123,23,61,6
1,30,16,15,0,123,23,60,6
1,31,16,15,0,122,23,59,6
1,32,16,15,0,122,23,58,6
1,33,16,15,0,122,23,57,6
1,34,16,15,0,121,23,56,6
1,35,16,15,0,121,23,55,6
1,36,16,15,0,121,23,54,6
1,37,16,15,0,120,23,53,6
1,38,16,15,0,120,23,52,6
1,39,16,15,0,120,23,51,6
1,40,16,15,0,119,22,50,6
1,41,16,15,0,119,22,49,6
1,42,16,15,0,119,22,48,6
1,43,16,15,0,118,22,47,6
1,1,17,15,1,139,26,89,6
1,2,17,15,1,137,26,88,6
1,3,17,15,1,137,26,87,6
1,4,17,15,1,137,26,86,6
1,5,17,15,1,136,26,85,6
1,6,17,15,1,136,26,84,6
1,7,17,15,1,136,26,83,6
1,8,17,15,1,136,26,82,6
1,9,17,15,1,135,25,81,6
1,10,17,15,1,135,25,80,6
1,11,17,15,1,135,25,79,6
1,12,17,15,1,134,25,78,6
1,13,17,15,0.996,134,25,77,6
1,14,17,15,0.096,134,25,76,6
1,15,17,15,0,134,25,75,6
1,16,17,15,0,133,25,74,6
1,17,17,15,0,133,25,73,6
1,18,17,15,0,133,25,72,6
1,19,17,15,0,132,25,71,6
1,20,17,15,0,132,25,70,6
1,21,17,15,0,132,25,69,6
1,22,17,15,0,131,25,68,6
1,23,17,15,0,131,25,67,6
1,24,17,15,0,131,25,66,6
1,25,17,15,0,131,25,65,6
1,26,17,15,0,130,24,64,6
1,27,17,15,0,130,24,63,6
1,28,17,15,0,130,24,62,6
1,29,17,15,0,129,24,61,6
1,30,17,15,0,129,24,60,6
1,31,17,15,0,129,24,59,6
1,32,17,15,0,128,24,58,6
1,33,17,15,0,128,24,57,6
1,34,17,15,0,128,24,56,6
1,35,17,15,0,128,24,55,6
1,36,17,15,0,127,24,54,6
1,37,17,15,0,127,24,53,6
1,38,17,15,0,127,24,52,6
1,39,17,15,0,126,24,51,6
1,40,17,15,0,126,24,50,6
1,41,17,15,0,126,24,49,6
1,42,17,15,0,125,23,48,6
1,43,17,15,0,125,23,47,6
1,1,18,15,1,150,28,89,6
1,2,18,15,1,143,27,88,6
1,3,18,15,1,143,27,87,6
1,4,18,15,1,143,27,86,6
1,5,18,15,1,143,27,85,6
1,6,18,15,1,142,27,84,6
1,7,18,15,1,142,27,83,6
1,8,18,15,1,142,27,82,6
1,9,18,15,1,141,26,81,6
1,10,18,15,1,141,26,80,6
1,11,18,15,1,141,26,79,6
1,12,18,15,1,140,26,78,6
1,13,18,15,1,140,26,77,6
1,14,18,15,1,140,26,76,6
1,15,18,15,0.992,140,26,75,6
1,16,18,15,0.02,139,26,74,6
1,17,18,15,0,139,26,73,6
1,18,18,15,0,139,26,72,6
1,19,18,15,0,139,26,71,6
1,20,18,15,0,138,26,70,6
1,21,18,15,0,138,26,69,6
