type_driver,property,probability
1,P=? [ F crashed ],0.07013292000000002
1,P=? [ F crashed | (x=length) | (t=max_time)],1.0
1,P=? [ F crashed | (x=length & t < 21) ],0.07013292000000002
1,P=? [ F crashed | (x=length & t < 24) ],0.999889876390008
1,P=? [ F crashed | (x=length & t < 27) ],0.9999994241529282
1,P=? [ F crashed | (x=length & t < 30) ],0.9999994355144612
2,P=? [ F crashed ],0.0007484400000000001
2,P=? [ F crashed | (x=length) | (t=max_time)],1.0
2,P=? [ F crashed | (x=length & t < 21) ],0.0007484400000000001
2,P=? [ F crashed | (x=length & t < 24) ],0.9782766129296799
2,P=? [ F crashed | (x=length & t < 27) ],0.9997108298099184
2,P=? [ F crashed | (x=length & t < 30) ],0.9999992183330972
3,P=? [ F crashed ],0.00011627999999999999
3,P=? [ F crashed | (x=length) | (t=max_time)],1.0
3,P=? [ F crashed | (x=length & t < 21) ],0.00011627999999999999
3,P=? [ F crashed | (x=length & t < 24) ],0.7003487815406501
3,P=? [ F crashed | (x=length & t < 27) ],0.9572156790008848
3,P=? [ F crashed | (x=length & t < 30) ],0.9983225022271439
